 54101 function calls (53641 primitive calls) in 0.364 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      124    0.000    0.000    0.001    0.000 managers.py:206(shape)
      372    0.000    0.000    0.001    0.000 managers.py:208(<genexpr>)
      236    0.000    0.000    0.000    0.000 managers.py:210(ndim)
       31    0.000    0.000    0.000    0.000 managers.py:227(is_single_block)
       31    0.001    0.000    0.002    0.000 managers.py:232(_rebuild_blknos_and_blklocs)
       31    0.000    0.000    0.000    0.000 managers.py:253(items)
       31    0.000    0.000    0.001    0.000 managers.py:318(_verify_integrity)
      199    0.000    0.000    0.000    0.000 managers.py:320(<genexpr>)
       48    0.000    0.000    0.000    0.000 managers.py:681(is_consolidated)
       28    0.000    0.000    0.000    0.000 managers.py:689(_consolidate_check)
       28    0.000    0.000    0.000    0.000 managers.py:690(<listcomp>)
       34    0.000    0.000    0.080    0.002 managers.py:975(consolidate)
       14    0.000    0.000    0.079    0.006 managers.py:991(_consolidate_inplace)
       62    0.000    0.000    0.000    0.000 missing.py:133(_isna)
       42    0.000    0.000    0.013    0.000 missing.py:202(_isna_ndarraylike)
       42    0.000    0.000    0.012    0.000 missing.py:244(_isna_string_dtype)
       45    0.000    0.000    0.002    0.000 missing.py:367(array_equivalent)
       45    0.000    0.000    0.000    0.000 missing.py:465(_array_equivalent_object)
       62    0.000    0.000    0.000    0.000 missing.py:50(isna)
       98    0.001    0.000    0.016    0.000 missing.py:619(isna_all)
       28    0.000    0.000    0.000    0.000 missing.py:635(<lambda>)
       42    0.000    0.000    0.013    0.000 missing.py:638(<lambda>)
      116    0.000    0.000    0.000    0.000 multiarray.py:143(concatenate)
       17    0.000    0.000    0.000    0.000 numeric.py:78(_validate_dtype)
      652    0.000    0.000    0.001    0.000 numerictypes.py:285(issubclass_)
      326    0.000    0.000    0.001    0.000 numerictypes.py:359(issubdtype)
       68    0.000    0.000    0.000    0.000 numerictypes.py:575(_can_coerce_all)
       34    0.000    0.000    0.000    0.000 numerictypes.py:599(find_common_type)
       34    0.000    0.000    0.000    0.000 numerictypes.py:651(<listcomp>)
       34    0.000    0.000    0.000    0.000 numerictypes.py:652(<listcomp>)
       17    0.000    0.000    0.000    0.000 range.py:133(_simple_new)
      186    0.000    0.000    0.000    0.000 range.py:747(__len__)
       17    0.000    0.000    0.001    0.000 range.py:85(__new__)
       20    0.000    0.000    0.000    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
       20    0.000    0.000    0.000    0.000 shape_base.py:219(_vhstack_dispatcher)
       20    0.000    0.000    0.030    0.001 shape_base.py:223(vstack)
       20    0.000    0.000    0.000    0.000 shape_base.py:78(_atleast_2d_dispatcher)
       20    0.000    0.000    0.000    0.000 shape_base.py:82(atleast_2d)
       17    0.000    0.000    0.000    0.000 typing.py:1333(cast)
       34    0.000    0.000    0.000    0.000 typing.py:2020(new_type)
       76    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF85B4D4C60}
       17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
     22/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      365    0.000    0.000    0.019    0.000 {built-in method builtins.all}
      279    0.000    0.000    0.003    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.364    0.364 {built-in method builtins.exec}
     6131    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      469    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       51    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       62    0.000    0.000    0.000    0.000 {built-in method builtins.id}
     7945    0.003    0.000    0.006    0.000 {built-in method builtins.isinstance}
     3847    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
3403/3025    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      174    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       76    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      180    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       14    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
       82    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
      124    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
      266    0.000    0.000    0.000    0.000 {built-in method numpy.array}
  176/136    0.109    0.001    0.110    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
       56    0.000    0.000    0.000    0.000 {built-in method numpy.datetime_data}
      192    0.012    0.000    0.012    0.000 {built-in method numpy.empty}
       26    0.000    0.000    0.000    0.000 {built-in method pandas._libs.lib.is_bool_array}
       62    0.000    0.000    0.000    0.000 {built-in method pandas._libs.missing.checknull}
       42    0.011    0.000    0.011    0.000 {built-in method pandas._libs.missing.isnaobj}
       28    0.000    0.000    0.000    0.000 {built-in method pandas._libs.tslibs.offsets.to_offset}
       28    0.000    0.000    0.000    0.000 {built-in method pandas._libs.tslibs.timezones.maybe_get_tz}
       17    0.000    0.000    0.000    0.000 {function FrozenList.__getitem__ at 0x00000269EC877CA0}
      217    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       98    0.000    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
      181    0.000    0.000    0.001    0.000 {method 'any' of 'numpy.ndarray' objects}
      506    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       20    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       14    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
      168    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        8    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       62    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
      382    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       88    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      119    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       80    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       14    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
      256    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      279    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       42    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      115    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       20    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       88    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       28    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
       88    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_int64}
       90    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_object}
       62    0.033    0.001    0.033    0.001 {pandas._libs.algos.take_2d_axis0_int64_int64}
       26    0.021    0.001    0.021    0.001 {pandas._libs.algos.take_2d_axis0_object_object}
       31    0.000    0.000    0.000    0.000 {pandas._libs.internals.get_blkno_placements}
       45    0.000    0.000    0.000    0.000 {pandas._libs.lib.array_equivalent_object}
       88    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_float}
      184    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_scalar}
